videoId,title,singer
upODO6OuOOk,大塚 愛 / さくらんぼ,avex
SX_ViT4Ra7k,米津玄師  Kenshi Yonezu  - Lemon,Kenshi Yonezu  米津玄師
-tKVN2mAKRI,DAOKO × 米津玄師『打上花火』MUSIC VIDEO,daoko_jp
ony539T074w,King Gnu - 白日,King Gnu official YouTube channel
PDSkFeMVNFs,RADWIMPS - 前前前世 (movie ver.) [Official Music Video],RADWIMPS
jhOVibLEDhA,星野源 – 恋 (Official Video),星野源
T8y_RsF4TSw,back number - ハッピーエンド (full),BackNumberVEVO
4-Gw0TAM6-Q,三代目 J SOUL BROTHERS from EXILE TRIBE / 「R.Y.U.S.E.I.」Music Video,avex
IV7usfiEbms,ケツメイシ「友よ 〜 この先もずっと…」,ケツメイシ
1wxTksLZ1Mw,レミオロメン - 粉雪,レミオロメン
_4DJkOUU648,「負けないで」Music Video,zardofficial
UNRJyBHziX4,レミオロメン - 3月9日,レミオロメン
j7CDb610Bg0,BUMP OF CHICKEN「天体観測」,BUMP OF CHICKEN
RkF5_BpBQU4,"My Little Lover「Hello, Again 〜昔からある場所〜」",TOYSFACTORYJP
lzsB4eKPdJI,ポルノグラフィティ『サウダージ』MUSIC VIDEO,ポルノグラフィティ Official YouTube Channel
Eze6-eHmtJg,スピッツ / チェリー,spitzclips
WdhMjzfg6-k,【MV full】 フライングゲット （ダンシングバージョン） / AKB48 [公式],AKB48
8etBhO7i7bM,ARASHI - truth [Official Music Video],ARASHI
T8yZWCg85Cs,広瀬香美 - ロマンスの神様 (Official Video),広瀬 香美 Official YouTube channel
v2SlpjCz7uE,地上の星 / 中島みゆき [公式],中島みゆき公式チャンネル
wp2U40KI63A,aiko- 『カブトムシ』music video,aikoOfficial
jaFE9YH3Zmk,「揺れる想い」Music Video,zardofficial
yegBF2yoTDo,ケツメイシ「さくら」,ケツメイシ
IKjRLKQo7O0,プリンセス プリンセス　『Diamonds ＜ダイアモンド＞』,プリンセス プリンセス official YouTube channel
Nxwt_s1lM04,Mr.Children 「Tomorrow never knows」 MUSIC VIDEO,Mr.Children Official Channel
78UwqbJnI18,糸,Miyuki Nakajima - Topic
B2fPYlGKdXM,AI - Story,AIVEVO
IvDTkTKi5pA,スキマスイッチ - 「全力少年」Music Video : SUKIMASWITCH / ZENRYOKU SHOUNEN Music Video,SukimaSwitchVEVO
aRyjZa89g4o,miwa 『ヒカリヘ』Music Video,miwa official YouTube channel
3exsRhw3xt8,UNISON SQUARE GARDEN「シュガーソングとビターステップ」ショートVer.,unisonsgofficial
aHIR33pOUv0,MISIA - Everything （Official HD Music Video）,MISIA
b88pxLpMZKk,【公式】槇原敬之「どんなときも。」(MV)【3rdシングル】 (1991年) Noriyuki Makihara/donnatokimo　【1位】,Warner Music Japan
EqVoCfSwfUY,平井 堅 『瞳をとじて』MUSIC VIDEO,平井 堅 YouTube Official Channel
wHw6W4BznTM,絢香 - 三日月,Warner Music Japan
uOv48wstbgY,TSUNAMI,Southern All Stars - Topic
-9DxpPiE458,宇多田ヒカル - Automatic,HikaruUtadaVEVO
oIoaIlPpIcA,中島美嘉 『雪の華』 MUSIC VIDEO,中島美嘉 Official YouTube Channel
gPcPseeICjs,GLAY / HOWEVER,GLAY
Qtf0KiLiYu0,西野カナ『Dear…』MV Full,西野カナ Official YouTube Channel
aGWzRUdn0so,【平原綾香】「Jupiter」MVフルVer.,dreamusic
IzqLX_KVK0Q,"GLAY / Winter, again",GLAY
ECxBHhMc7oI,椎名林檎 - 本能,SheenaRingoVEVO
Q9qAyt0G-jM,[MV] SAY YES / CHAGE and ASKA,CHAGE and ASKA Official Channel
gI0Fc4L_-QY,the brilliant green - There will be love there －愛のある場所－,thebrilliantgreenTV
IxN5s8YipbI,岡本真夜「TOMORROW」Music Video,TOKUMAJAPAN
-eQcHcINM2M,Aiwa Katsu,KAN - Topic
u8EkSB9zSpE,MONGOL800 / 小さな恋のうた,（株）ハイウェーブ
SRQbQ_nd4fc,宇多田ヒカル - Can You Keep A Secret?,HikaruUtadaVEVO
WmM-KTcG3QY,L'Arc～en～Ciel「HONEY」-Music Clip-,L’Arc〜en〜Ciel
