videoId,title,singer
vtEfALKX40E,【組曲2】花譜×星街すいせい「一世風靡」【オリジナルMV】,花譜 -KAF-
UYEZL13MUFk,AWAKE / 星街すいせい(official),Suisei Channel
8ZP5eqm4JqM,ビビデバ / 星街すいせい(official),Suisei Channel
UmN7Fr_Kf-8,ムーンライト / 星街すいせい(official),Suisei Channel
VrobkH1cTdY,ジュビリー (M@STER Version),高垣楓(CV:早見沙織) - Topic
mRgslQ5Z-kU,ソワレ / 星街すいせい(official),Suisei Channel
liCsjACEeJA,ザイオン / 星街すいせい(official),Suisei Channel
hAI-qjw6J-A,【holo*27 MV】星街すいせい - プラネタリウム【ホロライブ x DECO*27】,Suisei Channel
a51VH9BYzZA,Stellar Stellar / 星街すいせい(official),Suisei Channel
r1ZVPTCOCSQ,灼熱にて純情(wii-wii-woo) / 星街すいせい(official),Suisei Channel
5Jja39-69G8,【Kanaria】レクイエム【星街すいせい】,Kanaria
IKKar5SS29E,GHOST / 星街すいせい(official),Suisei Channel
4uqONJT6G-M,みちづれ / 星街すいせい(official),Suisei Channel
IqT6cHCT1TE,駆けろ / 星街すいせい(official),Suisei Channel
KshZpLMCG9o,スイちゃんのメンテナンスソング,Hoshimachi Suisei - Topic
pIWFkkBM5DU,先駆者,Hoshimachi Suisei - Topic
rth4htqJ1ZQ,Starry Jet,Hoshimachi Suisei - Topic
88QKF3yuiyI,Wicked,Hoshimachi Suisei - Topic
mBuHQeL-OO8,TEMPLATE / 星街すいせい(official),Suisei Channel
Y6Ybz_yjQ6U,褪せたハナミドリ,Hoshimachi Suisei - Topic
hD0TxCx5Ew0,TRUE GIRL SHOW,Hoshimachi Suisei - Topic
BP59Bm6T3_I,放送室 / 星街すいせい(official),Suisei Channel
lBM2j13sdOs,デビュタントボール,Hoshimachi Suisei - Topic
PcH8jff5kO0,7days,Hoshimachi Suisei - Topic
PUJ9qXbLyfE,Damn Good Day,Hoshimachi Suisei - Topic
oE6NCqdebn4,Newton,Hoshimachi Suisei - Topic
M85xU-tbQ6c,[ORIGINAL SONG] CapSule - Mori Calliope x 星街すいせい,Mori Calliope Ch. hololive-EN
vQHVGXdcqEQ,NEXT COLOR PLANET / 星街すいせい(official),Suisei Channel
tQRk5OFsGXo,Andromeda,Hoshimachi Suisei - Topic
X9sc0kxuo6I,Je t'aime。,Hoshimachi Suisei - Topic
3DrYQMK4hJE,バイバイレイニー / 星街すいせい(official),Suisei Channel
zLak0dxBKpM,天球、彗星は夜を跨いで / 星街すいせい(official),Suisei Channel
ZfDYRy17CBY,Bluerose / 星街すいせい(official),Suisei Channel
Mm87JgTx2Ao,【DanceMV】自分勝手Dazzling / 星街すいせい(official),Suisei Channel
3cqV5BKJHyk,comet / 星街すいせい(official),Suisei Channel
