videoId,title,singer
XTDjp4YdS1o,私は最強 (ウタ from ONE PIECE FILM RED),Ado
-LmPkPanYxg,FREEDOM,Ado
YAKXTbuL6uI,阿修羅ちゃん,Ado
hyV1AJiFNyo,ウタカタララバイ (ウタ from ONE PIECE FILM RED),Ado
eHTeP9QQ_fs,レディメイド,Ado
FUgH2zd2Nxo,行方知れず,Ado
mUdyVeXcV8A,夜のピエロ,Ado
V9Ot1Fv0hdU,花火,Ado
Xog-Tik2ncI,向日葵,Ado
LHw5fx28SJY,リベリオン,Ado
7JI8XY1Fvto,うっせぇわ,Ado
I0qWfBT7F_w,踊,Ado
nSZ36z3_10g,ギラギラ,Ado
1FliVTcX8bQ,新時代 (ウタ from ONE PIECE FILM RED),Ado
vHfAjfKVMew,逆光 (ウタ from ONE PIECE FILM RED),Ado
pgXpM4l_MwI,唱,Ado
lZGo8jcEW2M,アタシは問題作,Ado
V9_ZpqfqHFI,Tot Musica,Ado
sOiMD45QGLs,ギラギラ,Ado
W_fHWaoQwkw,クラクラ,Ado
_wZfYtYwxro,マザーランド,Ado
BMb5IetESGE,心という名の不可解,Ado
oy2WTnhVT2w,いばら,Ado
55W2LxbQoHc,過学習,Ado
jTVSU-Lr1ew,会いたくて,Ado
