videoId,title,singer
OqQAFmkrzew,Anytime Anywhere,milet - Topic
JaLuwtPmcGI,Chosen Family,COLLAR - Topic
IwQGnXpskoY,One Voice,Rokudenashi - Topic
gjxEL5fZ1xw,無答案,Terence Lam - Topic
OGrGg8TvEjU,ランデヴー,shytaupe - Topic
pavWQ1h9d8M,Sore Ga Anata No Shiawase To Shite Mo,DAZBEE - Topic
ZdzoLCLliW0,ただ君に晴れ,Yorushika - Topic
s_MKpsZ9YBQ,emergency contact,Gareth.T - Topic
pDSYuV9eSn4,再見有時,sica - Topic
SVkGRoLicuA,Sukidakara,Yuika - Topic
Wj9YH74DOvE,三生有幸,Yan Ting - Topic
dJth8oW7CAQ,spiral,LONGMAN - Topic
BRPQDDAUeMY,The Flame of Love,Rokudenashi - Topic
_V9voeTW7J4,hanataba,milet - Topic
pJJrhNeXiU0,ヒッチコック,Yorushika - Topic
_5UcnQueFaE,Prover,milet - Topic
hd4mQBZxpT0,以孤獨命名,Ian 陳卓賢 - Topic
aWeqYcnzduE,Permanent Damage,MC Cheung Tinfu - Topic
ZnIqa0H-CbE,us,milet - Topic
9wVD4j04mqs,AM730,MC Cheung Tinfu - Topic
c35CilEWqeM,きみの名前,Chiai Fujikawa - Topic
c_mVwBCLBCE,Suiheisen,back number - Topic
EjOy4lXtiYE,Ikuokukonen,Omoinotake - Topic
9NPv4q57on8,あの夢をなぞって,YOASOBI - Topic
RBSahAyPwwU,still you still me,On Chan - Topic
16eP4lD7fD0,Look into my eyes,Nancy Kwai - Topic
Lsdq37FBmkg,You took my breath away,Nancy Kwai - Topic
BwzYvSDELgU,你不會一輩子的愛上我,Tyson Yoshi - Topic
O6YYPazKUjM,彳亍,麥浚龍   - Topic
Po2Ujyn8SXE,Harunohi,Aimyon - Topic
x0hQgkrYVkI,青春告別式,Hins Cheung - Topic
OTQ4KaTO73w,Inhale,MC Cheung Tinfu - Topic
VUjm1xsdA_c,Background Noise,MC Cheung Tinfu - Topic
3HuyRf6tV4E,Where the Wind Blows,Ado - Topic
6fPMhFkR28U,かくれんぼ,AliA - Topic
8dCBcVTxRTE,Inside You,milet - Topic
wNjvuRZtQeI,Inferno,Mrs.GREEN APPLE - Topic
4SZUjD15AR8,Who I Am,milet - Topic
gd5-TdPJ3AQ,Bokuno Koto,Mrs.GREEN APPLE - Topic
zfnZxuaVZyM,Kimi Wa Rock Wo Kikanai,Aimyon - Topic
2zw88mMzFNQ,下回分解,Winka Chan - Topic
fR8iPh9S9qg,Kizuna No Kiseki,MAN WITH A MISSION - Topic
txvuqbVKmvc,晨星,Yan Ting - Topic
FnqrCIVjv10,COVER STORY,Billy Choi - Topic
JE35_QHAcoI,With,Lilas Ikuta - Topic
GsjCB7NJp5k,loner anthem,Gareth.T - Topic
UBDGDqKjZ78,Edge of Horizon,Byejack - Topic
DSIP8FhvW5Y,Tinted Windows,Kaho Hung - Topic
gYloyw0opmM,Himawari No Yakusoku,Motohiro Hata - Topic
dH8XbJbTW14,あとひとつ,FUNKY MONKEY BΛBY'S - Topic
0id44IpiTKc,意外現場,Yan Ting - Topic
-QxMzUEJH4Q,Ao To Natsu,Mrs.GREEN APPLE - Topic
PKevznn3CgA,SANGATSU KOKONOKA,Remioromen - Topic
b_bjtIeqIR4,Wataridori,[Alexandros] - Topic
fas8EnK_wkU,JFYT - Hands Up (Official Music Video),YANTING official
tO5KPGgwb-I,Kiseki,GRe4N BOYZ - Topic
Kt451YtL-Vs,Dance Hall,Mrs.GREEN APPLE - Topic
3GN5nalOt5g,現任榮譽顧問,CY陳宗澤 - Topic
hcb_QNndmsc,Setting Sun,Yorushika - Topic
YwmQWcutjNM,Bluer,milet - Topic
YL9_wPbbvQo,Niji,Masaki Suda - Topic
PzBuPbBWKiA,填詞魂,謝雅兒 - Topic
ipiQ0lpayoo,「僕は... 」,ATARAYO - Topic
6fWFvHVB8ic,月色,Anson Kong - Topic
PZXiEFgRRCI,Ito,Aimer - Topic
ouQSMgJ0tHQ,說好的未來,Winka Chan - Topic
3NNhrqHZqlI,Lemon,Kenshi Yonezu - Topic
Ec9CjhA586c,Where Are You,Panther Chan - Topic
UwSNfatEYcQ,Kokoronashi,Akane - Topic
Gx7aJXP650I,王菀之嘅歌鼓勵人,Ivana Wong - Topic
WzfOm6jpQvs,Drown,milet - Topic
Ge_YTVsefO8,Tell me,milet - Topic
4YBNqNPjVM0,Is There Still Anything That Love Can Do?,RADWIMPS - Topic
Lc2rdHUiugU,One Reason,milet - Topic
YwzlZytfbfw,萬人邂逅,JC 陳詠桐 - Topic
KF2L8hzMLl8,Ito,Masaki Suda - Topic
NTcjpGnuNJs,Forget it,Yorushika - Topic
Vk_oR_uEcbI,Living My Life,milet - Topic
G4Fkv36V0Sk,Speak Love,COLLAR - Topic
yuTesDwv6uA,Uchiagehanabi,DAOKO - Topic
RUSBABcGf2c,Akari,崎山蒼志 - Topic
xsp63aPEcZw,Ordinary days,milet - Topic
-0zaPA4uCUA,Happy Birthday,back number - Topic
0vlxslwxcs8,Again and Again,milet - Topic
qaOPHnbaBdM,Ghost In A Flower,Yorushika - Topic
FgAMCLzLE9c,W / X / Y,Tani Yuuki - Topic
mUSVav9pKO4,Sunny,Yorushika - Topic
MPhvDpnWPag,再見 寧靜海,Ian 陳卓賢 - Topic
YpZS57uDYWQ,流離者的海,Terence Lam - Topic
0IgYaOzN-0I,The Nameless Sorrow,Cloud Wan - Topic
Zv1PWFfCASU,Not My Problem,MC Cheung Tinfu - Topic
voAu0YRWUNE,Be a flower,Ryokuoushoku Shakai - Topic
7z3cm4Mw6Ss,滴滴金,CY陳宗澤 - Topic
qOh3RKkS8QY,Wonderland,milet - Topic
bIGdqrTZp3o,Grab the air,milet - Topic
DtkJyo-RAP4,經痛不及我心痛,sica - Topic
IaPF0hp4-ZY,失約巴黎,Jeffrey 魏浚笙 - Topic
trCQLTKjpSA,Koi Kogare,milet - Topic
lnI-C4EH5_k,Ambivalent,Uru - Topic
7KXXkEiQDME,Back In The Game,COLLAR - Topic
