videoId,title,singer
oA9jBgA_PMU,MC 張天賦 X 陳蕾 - 永久損毀 Permanent Damage (Official Music Video),MC 張天賦
Rp4iHpTvBY8,洪嘉豪 Hung Kaho - 黑玻璃 Tinted Windows (Official Music Video),洪嘉豪 Hung Kaho
mt56HEafeWU,gareth.t -  緊急聯絡人 (official video),Gareth.T
3KRoczsPIFU,Yan Ting 周殷廷 - 三生有幸 Three Lives of Luck (Official Music Video),YANTING official
4Ch6C-U6dcs,張敬軒 Hins Cheung《青春告別式》(The Last Mad Surge of Youth) [Official MV],張敬軒 Hins Cheung
RPoNXvSFHE4,Kiri T - 至少做一件離譜的事 You Gotta Screw Up At Least Once [Official Music Video],Kiri T
jclkxUayxp8,Anson Lo 盧瀚霆 《Hey Hey OK!》 Official Music Video,MIRROR
fisaIfuxues,MC 張天賦 - 隔牆有耳 Background Noise (Official Lyric Video),MC 張天賦
YKRfaH3xkgk,姜濤 Keung To《黑月》(Dark Moon) Official Music Video,MIRROR
DaQNnnU1DA4,Keung To 姜濤 《好得太過份》 (You're out of this world) Official Music Video,MIRROR
OfIFA-V6Zec,G.E.M.鄧紫棋【海闊天空 Infinite】LIVE現場版 (時光音樂會 · 老友記 EP.12),GEM鄧紫棋
DcfYmAeSwS8,Ian 陳卓賢 《鑿》 (Sculp) Official Music Video,MIRROR
TnCUUWXCL-M,Ian 陳卓賢 《以孤獨命名》 (Solitude) Official Music Video,MIRROR
MVDfNt6atHA,Anson Lo 盧瀚霆《MY LIFE》Official Music Video,MIRROR
s7ar4ClC95M,MC 張天賦 X Chantel 姚焯菲 - 誰能避開戀愛這事情 (Official Music Video),MC 張天賦
CbpX1RgSOl8,Nancy Kwai 歸綽嶢 - Let go (Official Music Video),Nancy Kwai 歸綽嶢
Zn1kl1Lmcrk,Edan 呂爵安 《 油麻地莎士比亞 》 ( Shakespeare of Yau Ma Tei ) Official Music Video,MIRROR
tzHDm7jyoEY,林家謙 Terence Lam《喃嘸師感官漫遊》Lamoland (Official MV),林家謙 Terence Lam
Evy81LX88YI,Gigi 炎明熹 - 還有一艘救生艙 Official Music Video,Gigi Yim 炎明熹
J6nmZUNWJfE,Edan 呂爵安 JACE 陳凱詠 《漸漸我們》 (Gradually) Official Music Video,MIRROR
LGLc_PTGojY,Jeffrey Ngai 魏浚笙 - 失約巴黎 Before Sunset (Official Music Video),Jeffrey Ngai 魏浚笙
-pTAydLR4K4,Edan 呂爵安 《月光奏明曲 Moonlight Sonata in “E“ minor》 Official Music Video,MIRROR
OqZqJ6yaeOw,moon tang - 趁你旅行時搬走 (official video),moon tang
uTniX3I6WZ8,Anson Kong 江𤒹生《月色》Official Music Video,MIRROR
_D_JFTnjB6Q,Gin Lee 李幸倪《企好》(Attention) [Official MV],Gin Lee李幸倪
2QF__V9V7Mc,Jeremy 李駿傑 《TOXIC!》 Official Music Video,MIRROR
g0YEvU1ccuA,Anson Kong 江𤒹生《偽映畫預告》(A Fake Trailer) Official Music Video,MIRROR
IvrLJDlzTus,洪嘉豪 Hung Kaho - 拜託 Please (Official Music Video),洪嘉豪 Hung Kaho
poBnPrq-nCI,Yan Ting 周殷廷 - 晨星 Morning Star (Official Music Video),YANTING official
4VO_ZJ3H8E8,林家謙 Terence Lam《無答案》Nocturne (Official MV),林家謙 Terence Lam
urqtwluKdsM,馮允謙 Jay Fung - 給你幸福 所以幸福 You Are Mine For Life (Official Music Video),Jay Fung 馮允謙
qw4T2OWrqEc,Kiri T - 有些話要用英文說 Bilingual Problems [Official Music Video],Kiri T
KTMr81OpDTo,Nancy Kwai 歸綽嶢 - Look into my eyes (Official Music Video),Nancy Kwai 歸綽嶢
-faG6EV5G4A,容祖兒 Joey Yung《九秒九》(9.9s) [Official MV],容祖兒 Joey Yung
zqWJ-_jqvsc,傾城 (劇集《婚後事》主題曲),Mike Tsang - Topic
oSeRj1sW3To,Cloud 雲浩影 - 回憶半分鐘 Memento (Official Music Video),寰亞音樂 Media Asia Music Official Channel
kIwButt9xGk,Windy 詹天文 - 《麻煩彈開》Official Music Video,Windy 詹天文
e_8z97iV2cI,陳蕾 Panther Chan - 神的不在場證明 Where Are You (Official Music Video),陳蕾Panther Chan
M9cpJ-KVgT0,情人未晚,何仟仟 - Topic
TFGAXjCQMyw,Aska 張馳豪  - 《Dirty Rhythm》Official Music Video,Aska Cheung 張馳豪
0RCiNRtxmJ8,MIRROR《Rocketstars》Official Music Video,MIRROR
PzBuPbBWKiA,填詞魂,謝雅兒 - Topic
tHTTkZC4_Fw,Dear Jane - 為何嚴重到這樣 Why So Serious (Official Music Video),Dear Jane
_Glv4WPKTdE,Marco 葉振弘- 半途而廢手冊 Give Up Halfway (Official Music Video),Marco 葉振弘
Ynx2Cra0gew,我們曾經白頭到老 (電影飯戲攻心2主題曲) - Official Music Video,Ivana Wong 王菀之
b3lyrA0ClN0,林峯 Raymond Lam - 愛在三千的宇宙 Still 3000 of Us (Official Lyric Video),林峯 Raymond Lam 
l0XMhIYSbEI,Jer 柳應廷《筆觸男孩憂鬱之死》(Melancholy Pen) Official Music Video,MIRROR
H0nYSdlFF58,In Love In The Morning ♡ official Music Video - Sabrina Cheung 張蔓莎,張蔓莎Sabrina Cheung
ZbMAmVRLV1A,COLLAR 《Chosen Family》Official Music Video,COLLAR
