videoId,title,singer
FDi5TulrPG4,張敬軒 Hins Cheung《缺》[Official MV],張敬軒 Hins Cheung
OkfqMiISP4Q,斷點,Hins Cheung - Topic
nK44fV_rGT8,張敬軒 Hins Cheung《俏郎君 Album Edition》[Official MV],張敬軒 Hins Cheung
QE1piGBS1sI,張敬軒 Hins Cheung《百年樹木》[Official MV],張敬軒 Hins Cheung
xJ3noBvml-Q,騷靈情歌,Hins Cheung - Topic
FaNlnSp36bY,明明他已離開妳,Hins Cheung - Topic
prjJTl7qwH8,張敬軒 Hins Cheung - FHProduction電影《暗戀》主題曲《重頭開始》MV,張敬軒 Hins Cheung
PZSp9mTgx6E,張敬軒 Hins Cheung《靈魂相認》[Official MV],英皇娛樂 eeg music
Z7UXPJ4Xu5s,餘震,Hins Cheung - Topic
J7BZUnUv9t0,張敬軒 - 《酷愛》MV,HinsCheungVEVO
0e93uY9s-JU,春秋,Hins Cheung - Topic
_0FWNr3sqOo,張敬軒 - 《我的天》MV,HinsCheungVEVO
8X5bpXbPsPM,張敬軒 Hins Cheung《On my way》[Official MV],張敬軒 Hins Cheung
miGPag3Xauk,張敬軒 - 笑忘書,HinsCheungVEVO
k2rVffhNd0E,張敬軒【只是太愛你】MV,universalmusichk
RyhF6pAAlPM,張敬軒 Hins Cheung《賽勒斯的愛》(Cherlas) [Official MV],張敬軒 Hins Cheung
5wJFZBulzsI,櫻花樹下,Hins Cheung - Topic
sFjLsF_oA3E,張敬軒 Hins Cheung 《青春常駐》[Official MV],英皇娛樂 eeg music
DiiUBW2piwA,張敬軒 Hins Cheung《空手而來》 (Empty Hands) [Official MV],張敬軒 Hins Cheung
ebaxoc1IG_U,張敬軒 Hins Cheung《天才兒童1985》(Prodigy 1985) [Official MV],張敬軒 Hins Cheung
DWEqVaXNYC8,張敬軒 Hins Cheung《黃色大門》[Official MV],張敬軒 Hins Cheung
yPNFWHoJHLo,張敬軒 Hins Cheung - 《塵埃落定》(Lyric Video),universalmusichk
pRlP2J0qvw4,張敬軒 Hins Cheung《感情寄生族》 (Parasite) [Official MV],張敬軒 Hins Cheung
Fs7VOl9gA_U,酩酊天使,Hins Cheung - Topic
Dwky4314-1I,張敬軒 Hins Cheung《Sweet Escape》[Official MV],張敬軒 Hins Cheung
_N9D8AR9Qxo,張敬軒 Hins Cheung《過客別墅》[Official MV],英皇娛樂 eeg music
SY9iSZJCg5Y,Medley - 垃圾 / 絕 / 失樂園 / 大開眼戒 (Hins Live in Passion 張敬軒演唱會 2014),Hins Cheung - Topic
0Fies_cvGyw,張敬軒 Hins Cheung《找對的人》[Official MV],英皇娛樂 eeg music
uT5dFy8qs8s,張敬軒 Hins Cheung《裝睡的情人》[Lyric MV],英皇娛樂 eeg music
qxzRZ20GfFw,我本人,Hins Cheung - Topic
9KtZVsQgP5U,張敬軒 - 《My Way》MV,HinsCheungVEVO
t3-R-DuR2ok,張敬軒 Hins Cheung《YOU》[Official MV],張敬軒 Hins Cheung
fjK6LoEisok,張敬軒 Hins Cheung《潛水》(Diving) [Official MV],張敬軒 Hins Cheung
Uat2vSsa01o,張敬軒 Hins Cheung《不同班同學》[Official MV],英皇娛樂 eeg music
5Nf4VUEkcKE,形影不離,Hins Cheung - Topic
l0fLGSJynME,張敬軒 Hins Cheung【井】MV,universalmusichk
MCsbSbtJ9Y4,Hurt So Bad,Hins Cheung - Topic
mntzTW_Ckzg,歲月靜好,Hins Cheung - Topic
cNkfFU0qCxk,張敬軒 Hins Cheung《追風箏的孩子 - HINS LIVE IN PASSION 2014》[Lyrics MV],英皇娛樂 eeg music
rlxpkdv99P4,張敬軒 Hins Cheung《緋荔榭‧少年》[Official MV],英皇娛樂 eeg music
f8QUYlm3ZyY,下次愛你,Hins Cheung - Topic
zFnYJpGkUyM,一個人的地球 (SACD Mastering),Hins Cheung - Topic
FqGlBYb0NjE,Old Fashioned,Leon Lai - Topic
_UcyXBxwKi0,夜宴,Hins Cheung - Topic
Iq6GXnwd7tQ,Triggered (SACD Mastering),Hins Cheung - Topic
7pOoMM5F01A,張敬軒 王菀之《手望 - HINS LIVE IN PASSION 2014》[Lyrics MV],英皇娛樂 eeg music
IDsdaatBI4c,乾杯,Leon Lai - Topic
2kG5TEBs4Xg,張敬軒 - 《迷失表參道》MV,HinsCheungVEVO
