videoId,title,singer
Hlp8XD0R5qo,《孤勇者》（《英雄聯盟：雙城之戰》動畫劇集中文主題曲）陳奕迅 Eason Chan [Official MV],Eason Chan
8NJVNkzhJM4,陳奕迅 Eason Chan《明年今日》[Official MV],英皇娛樂 eeg music
t0EG6pSwcBk,Eason Chan 陳奕迅 《一絲不掛》MV,universalmusichk
NCsVnmmNA3E,葡萄成熟時,Eason Chan - Topic
UdWlBBqiC7I,陳奕迅【苦瓜】MV,universalmusichk
Sm_DVsixxsk,陳奕迅 Eason Chan《K歌之王》[Official MV],英皇娛樂 eeg music
DOgI7qUduP8,陀飛輪,Eason Chan - Topic
CjhAHqCkctc,淘汰,Eason Chan - Topic
IsbCDUeqhEQ,Huang Jin Shi Dai,Eason Chan - Topic
gAotCGoKhD0,陳奕迅 Eason Chan《人來人往》[Official MV],英皇娛樂 eeg music
7qeShSmmsNg,富士山下,Eason Chan - Topic
jzGaS5kWj0U,陳奕迅 Eason Chan - 《無條件》MV,universalmusichk
bJHCgo85irM,《是但求其愛》陳奕迅 Eason Chan [Official MV],Eason Chan
9g3XXXdnjqY,Eason 陳奕迅【無人之境】MV,universalmusichk
fo4zyjWTaUc,Eason 陳奕迅 沙龍 MV,universalmusichk
_NRf4HQw4MU,Eason Chan 陳奕迅 七百年後 MV,universalmusichk
Vo9d7LKtYbc,《我們萬歲》LONG LIVE TO US 陳奕迅 eason and the duo band [Official MV],Eason Chan
AfPUiV-jamA,陳奕迅 Eason Chan《單車》[Official MV],英皇娛樂 eeg music
EuuYI1vc7ak,任我行,Eason Chan - Topic
eqtGDY0llkI,陳奕迅 Eason Chan - 重口味 MV (Full Version),universalmusichk
s3AmqV6VlE0,陳奕迅 Eason Chan《你的背包(國)》[Official MV],英皇娛樂 eeg music
sjyMo1oAspo,陳奕迅【最後派對】MV,universalmusichk
uz3apfp4DPc,阿牛,Eason Chan - Topic
QGHB-5e37Fw,陳奕迅 Eason Chan《十面埋伏》[Official MV],英皇娛樂 eeg music
uWFSUo7l7us,陳奕迅 Eason Chan《不如這樣(國)》[Official MV],英皇娛樂 eeg music
FF_35jGO53I,落花流水,Eason Chan - Topic
CPmkOPIAotI,"Eason Chan, Renée Fleming, Lang Lang - 《I Want...》MV",universalmusichk
IBbPMUCR0xk,陳奕迅 Eason Chan《Shall We Talk》[Lyrics MV],英皇娛樂 eeg music
FzZpbjZFWpk,Eason Chan 陳奕迅 - 《張氏情歌》MV,universalmusichk
mO4e7lf9vls,陳奕迅 Eason Chan - 碌卡 MV ( Full Version ),universalmusichk
rUfcqKHLUm8,陳奕迅Eason Chan《綿綿》[Lyrics MV],英皇娛樂 eeg music
OhowuBdJpjg,月球上的人,Eason Chan - Topic
O3gb7qGFGMg,歲月如歌,Eason Chan - Topic
RJbmHG4pXuA,陳奕迅 Eason Chan《Lonely Christmas》[MV],英皇娛樂 eeg music
QfGvtrK_9JU,陳奕迅 Eason Chan《低等動物》[Lyrics MV],英皇娛樂 eeg music
oYJ94k1obfw,Happy Ferris Wheel,Eason Chan - Topic
Zlm7tUzRVLI,好久不見,Eason Chan - Topic
wHCy311drhI,陳奕迅 Eason Chan《我們都寂寞(國)》[Official MV],英皇娛樂 eeg music
mcmSl9cJlcY,不期而遇的夏天 (電影《不期而遇的夏天》主題曲),Eason Chan - Topic
0d-jtA4hm0U,世界上不存在的歌 (2020 重唱版),Eason Chan - Topic
ZupPt0vXaSs,Always with me,Eason Chan - Topic
V1ZgP9o6N5s,范瑋琪 Christine Fan - 全世界失眠 (官方版MV),福茂唱片
ZrAmxWzS_qg,Hei Ye Bu Zai Lai,Eason Chan - Topic
zs9ISeYsZJ0,Wo De Kuai Le Shi Dai,Eason Chan - Topic
NLf8xl3vUfw,陳奕迅 Eason Chan《2001 太空漫遊》[MV],英皇娛樂 eeg music
5DQ85-xknFE,陳奕迅 Eason Chan《衝口而出》Official 官方完整版 [首播] [MV],英皇娛樂 eeg music
rhV4MhRivfE,陳奕迅 Eason Chan《熱帶雨林》[Lyrics MV],英皇娛樂 eeg music
Lo6Ee2SFUjk,Tian Xia Mo Shuang,Eason Chan - Topic
NV-fomDXAdQ,陳奕迅 Eason Chan《幸災樂禍》[MV],英皇娛樂 eeg music
