videoId,title,singer
IXuhdnB2dAY,周杰倫 JAY CHOU (feat. 楊瑞代) 【聖誕星 Christmas Star】Official MV,周杰倫 Jay Chou
APgx1k-2Tqc,周杰倫 JAY CHOU ft. JABBAWOCKEEZ【紅顏如霜 Cold Hearted】Official MV,周杰倫 Jay Chou
L229QDxDakU,周杰倫 Jay Chou【一路向北 All the Way North】-Official Music Video,周杰倫 Jay Chou
uIWypArI73w,周杰倫 Jay Chou【不能說的祕密 Secret】-Official Music Video,周杰倫 Jay Chou
KKsioz-zaZY,周杰倫 Jay Chou【說了再見 Say Goodbye】Official MV,周杰倫 Jay Chou
YJfHuATJYsQ,周杰倫 Jay Chou【擱淺 Step Aside】-Official Music Video,周杰倫 Jay Chou
1hI-7vj2FhE,周杰倫 Jay Chou【安靜 Silence】Official MV,周杰倫 Jay Chou
DYptgVvkVLQ,周杰倫 Jay Chou【晴天 Sunny Day】-Official Music Video,周杰倫 Jay Chou
VitJnr3IySc,周杰倫 Jay Chou【蒲公英的約定 A Dandelion's Promise】-Official Music Video,周杰倫 Jay Chou
HK7SPnGSxLM,周杰倫 Jay Chou【說好不哭 Won't Cry (with 五月天阿信 Mayday Ashin)】Official MV,周杰倫 Jay Chou
bu7nU9Mhpyo,周杰倫 Jay Chou (特別演出: 派偉俊)【告白氣球 Love Confession】Official MV,周杰倫 Jay Chou
_VxLOj3TB5k,周杰倫Jay Chou X aMEI【不該 Shouldn't Be】Official MV,周杰倫 Jay Chou
1emA1EFsPMM,周杰倫 Jay Chou【最偉大的作品 Greatest Works of Art】Official MV,周杰倫 Jay Chou
v489sYYjtHI,周杰倫 Jay Chou【算什麼男人 What Kind of Man】Official MV (ft. 林依晨),周杰倫 Jay Chou
zqKoXPHhmsM,周杰倫 Jay Chou【聽見下雨的聲音 Rhythm of the Rain】Official MV,周杰倫 Jay Chou
-biOGdYiF-I,"周杰倫 Jay Chou【Mojito】Official MV ★ Check out ""J-Style Trip"" on Netflix -Travelogue, Magic and Fun!",周杰倫 Jay Chou
BSlMAJ7SkMA,周杰倫 Jay Chou【還在流浪 Still Wandering】Official MV,周杰倫 Jay Chou
