videoId,title,singer
mLW35YMzELE,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,Creepy Nuts
jzi6RNVEOtA,はいよろこんで / こっちのけんと MV,こっちのけんと
tRwHpyOq4P4,Creepy Nuts - オトノケ(Otonoke) 【Official MV】 [Dandadan OP],Creepy Nuts
QjrkrVmC-8M,Mrs. GREEN APPLE「ライラック」Official Music Video,Mrs. GREEN APPLE
kagoEGKHZvU,【imase】NIGHT DANCER（MV）,imase
dy90tA3TT1c,YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),Ayase / YOASOBI
1tk1pqwrOys,廻廻奇譚 - Eve MV,Eve
TQ8WlA2GXbk,Official髭男dism - Pretender［Official Video］,Official髭男dism
-wb2PAx6aEs,"米津玄師 - さよーならまたいつか！ Kenshi Yonezu - Sayonara, Mata Itsuka !",Kenshi Yonezu  米津玄師
P7bVX6fJfCg,Omoinotake | 幾億光年 【Official Music Video】,Omoinotake
ony539T074w,King Gnu - 白日,King Gnu official YouTube channel
Qp3b-RXtz4w,【Ado】うっせぇわ,Ado
8OZDgBmehbA,SEKAI NO OWARI「Habit」,SEKAI NO OWARI
H08YWE4CIFQ,なとり - Overdose,なとり / natori
Rp0Z9YVOnKQ,King & Prince「ツキヨミ」MV YouTube Edit,King & Prince
tLQLa6lM3Us,Aimer「残響散歌」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）,Aimer Official YouTube Channel
4DxL6IKmXx4,LiSA 『炎』 -MUSiC CLiP-,LiSA Official YouTube
QW28YKqdxe0,NiziU  『Make you happy』 M/V,JYP Entertainment
1FliVTcX8bQ,【Ado】新時代 (ウタ from ONE PIECE FILM RED),Ado
Jb6Zlg30rgk,MAN WITH A MISSION×milet「絆ノ奇跡」Music Video,mwamjapan
iqEr3P78fz8,back number - 水平線,back number
x8VYWazR5mE,YOASOBI「夜に駆ける」 Official Music Video,Ayase / YOASOBI
0xSiBpUdW4E,あいみょん - マリーゴールド【OFFICIAL MUSIC VIDEO】,あいみょん
kzZ6KXDM1RI,優里『ドライフラワー』Official Music Video -ディレクターズカットver.-,優里 Official YouTube Channel
CbH2F0kXgTY,Official髭男dism - Mixed Nuts ［Official Video］,Official髭男dism
x2rvSf0STBM,Mrs. GREEN APPLE「ダンスホール」Official Music Video,Mrs. GREEN APPLE
RWfi_xJkuJg,Da-iCE /「I wonder」Performance Video,Da-iCE
M6gcoDN9jBc,King Gnu - 逆夢,King Gnu official YouTube channel
O1bhZgkC4Gw,Official髭男dism - Cry Baby［Official Video］,Official髭男dism
l446hUqQ7GY,ATARASHII GAKKO! - オトナブルー (Official Music Video),ATARASHII GAKKO! - 新しい学校のリーダーズ
YkVjY1F-Eoc,SPYAIR『オレンジ』Music Video（『劇場版ハイキュー!! ゴミ捨て場の決戦』主題歌）,SPYAIR Official YouTube Channel
yOAwvRmVIyo,あいみょん - 裸の心【OFFICIAL MUSIC VIDEO】,あいみょん
ptnYBctoexk,米津玄師  - 馬と鹿   Kenshi Yonezu - Uma to Shika,Kenshi Yonezu  米津玄師
hm1na9R2uYA,King Gnu - 一途,King Gnu official YouTube channel
vUsikBoa8i0,優里『ビリミリオン』Official Music Video,優里 Official YouTube Channel
TcLLpZBWsck,Fujii Kaze - Kirari (Official Video),Fujii Kaze
-VKIqrvVOpo,ヨルシカ - ただ君に晴れ (MUSIC VIDEO),ヨルシカ / n-buna Official
IVbY5edMfCA,Saucy Dog「シンデレラボーイ」Music Video ＜5th Mini Album「レイジーサンデー」2021.8.25 Release＞,Saucy Dog
7HgJIAUtICU,踊り子 / Vaundy：MUSIC VIDEO,Vaundy
DC6JppqHkaM,yama - 春を告げる (Official Video),yama
44cICMd3jW4,Mrs. GREEN APPLE「Soranji」Official Music Video,Mrs. GREEN APPLE
cyq5-StPISU,【Ado】阿修羅ちゃん,Ado
9MjAJSoaoSo,香水  /  瑛人 (Official Music Video),瑛人
mBB5RYgax5c,Snow Man 「オレンジkiss」Dance Practice,Snow Man
dHXC_ahjtEE,Chinozo 'グッバイ宣言' feat.FloweR,Chinozo
Sw1Flgub9s8,ヨルシカ - 春泥棒（OFFICIAL VIDEO）,ヨルシカ / n-buna Official
OlHb1qH-zS4,NiziU(니쥬) 2nd Single 『Take a picture』 MV,JYP Entertainment
F6SDc5uMEgs,King & Prince「ichiban」MV YouTube Edit,King & Prince
BOrdMrh4uKg,King Gnu - カメレオン,King Gnu official YouTube channel
