videoId,title,singer
KK9viFTvIIk,鄭秀文 Sammi Cheng - 《終身美麗》(電影 “瘦身男女” 主題曲) Official MV,Timeless Music Hong Kong天碟
7qeShSmmsNg,富士山下,Eason Chan - Topic
_KZ_UGMX13U,大哥,Janice Vidal - Topic
E9BgBB0JQ8E,側田 Justin Lo -《命硬》 Official MV,Timeless Music Hong Kong天碟
4Kbb2WMM7QE,"相愛很難 (電影""男人四十""歌曲)",Jacky Cheung - Topic
Rhm0qGfogU4,方力申 Alex Fong/ 鄧麗欣 Stephy Tang -《好心好報》Official MV,Timeless Music Hong Kong天碟
cWQrKUSZJ3c,七友,Edmond Leung - Topic
Z7UXPJ4Xu5s,餘震,Hins Cheung - Topic
60UVWy3znw0,Good Guy (Original Version),Justin Lo - Topic
8NJVNkzhJM4,陳奕迅 Eason Chan《明年今日》[Official MV],英皇娛樂 eeg music
pQlAWZLOpgo,林憶蓮 Sandy Lam - 至少還有你 At Least I've Got You (官方完整版MV),Timeless Music
Rg3Td67ueAQ,灰姑娘,Gigi Leung - Topic
yvrf8fpoL7o,衛蘭 - 離家出走 MV,AMusic Official Channel
5wJFZBulzsI,櫻花樹下,Hins Cheung - Topic
h5nGlDK6fxQ,Rogue,Ronald Cheng - Topic
q82fHjxQioY,耿耿於懷,麥浚龍   - Topic
cPKfUWDmNbo,Twins《下一站天后》[Official MV],英皇娛樂 eeg music
b-6uxr6cGQI,森林,Mr. - Topic
1bDAC3gmO4A,張學友 - 我真的受傷了 (Official Video),JackyCheungVEVO
F3P5WsIjvrM,Twins《戀愛大過天》[Official MV],英皇娛樂 eeg music
tZKFGmks6hA,謝霆鋒 Nicholas Tse《活著VIVA》[Official MV],英皇娛樂 eeg music
40RaRER4IaI,"Kay Tse, 謝安琪 - 《囍帖街》MV",KayTseVEVO
Sm_DVsixxsk,陳奕迅 Eason Chan《K歌之王》[Official MV],英皇娛樂 eeg music
wVZdkt38YO0,鄭秀文 Sammi Cheng -《煞科》Official MV （國：眉飛色舞）,Timeless Music Hong Kong天碟
F-_VUyi8T50,謝霆鋒 Nicholas Tse《愛後餘生》[Official MV],英皇娛樂 eeg music
E4jPiazznkY,容祖兒 JOEY YUNG《心淡》[Official MV],英皇娛樂 eeg music
hNX6gzYGfuE,夕陽無限好,Eason Chan - Topic
9viavzAf20o,謝霆鋒 Nicholas Tse《玉蝴蝶》[Official MV],英皇娛樂 eeg music
qkT4Mxmm92g,容祖兒 JOEY YUNG《痛愛》[Official MV],英皇娛樂 eeg music
FzEgF-b8I6Y,沒有人,麥浚龍   - Topic
qBh7Dzi97L0,陳冠希 Edison Chen《戰爭》[MV],英皇娛樂 eeg music
UiLmSS418Go,A Maiden's Prayer,Miriam Yeung - Topic
cyc5bAne3z8,Twins《丟架》[Official MV],英皇娛樂 eeg music
TOCa60RQ_NM,De Xia Jie,Endy Chow - Topic
08wk0ePNQEs,盧巧音 Candy Lo - 好心分手,CandyLoVEVO
70TKiLiKYg4,HOCC何韻詩－木紋 MV（Full Version),Goomusic
IBbPMUCR0xk,陳奕迅 Eason Chan《Shall We Talk》[Lyrics MV],英皇娛樂 eeg music
ZFqUiAkvzFM,Unique Skill,Leo Ku - Topic
YBV9OIjNlWU,鄭秀文Sammi Cheng -《如何掉眼淚》Official MV（國：如果我是你）,Timeless Music Hong Kong天碟
XSMZCJMdaVo,鄭秀文 Sammi Cheng ft. LMF  -《愛是》Official MV,Timeless Music Hong Kong天碟
lYRlGbrkrnk,薛凱琪 Fiona Sit -《男孩像你》Official Lyrics MV,Timeless Music Hong Kong天碟
0ADde5TVi3k,燕尾蝶,i-sHiNe - Topic
n2cB8kHA7No,Miriam Yeung - 楊千嬅 -《假如讓我說下去》MV,MiriamYeungVEVO
VGXKmWxhXOI,鄭秀文Sammi Cheng -《感情線上》Official MV (電影《孤男寡女》主題曲),Timeless Music Hong Kong天碟
uMVgQp1iPS4,Miriam Yeung - 楊千嬅 -《飛女正傳》MV,MiriamYeungVEVO
2l1rGDkQejI,許志安 - 《爛泥》MV,AndyHuiVEVO
ssiMRRiLiUk,"許志安, 葉德嫻 - 《教我如何不愛他》MV",AndyHuiVEVO
O3gb7qGFGMg,歲月如歌,Eason Chan - Topic
9ONRnrCE9qo,方力申 Alex Fong -《好好戀愛》(獨唱版) Official MV,Timeless Music Hong Kong天碟
