videoId,title,singer
Hlp8XD0R5qo,《孤勇者》（《英雄聯盟：雙城之戰》動畫劇集中文主題曲）陳奕迅 Eason Chan [Official MV],Eason Chan
YZPFbnk_RS0,MC 張天賦 - 記憶棉 Pillow Talk (Official Music Video),MC 張天賦
u14rrcxENDw,MC 張天賦 - 老派約會之必要 A Gentleman's Guide to Old-Fashioned Dating (Official Music Video),MC 張天賦
3euRDKzPS4M,Dear Jane - 到底發生過什麼事 What Happened (Official Music Video),Dear Jane
uuV8wZ_P8r4,Ian 陳卓賢 《留一天與你喘息》Official Music Video,MIRROR
H5ivE_QZTcw,Anson Lo 盧瀚霆《Megahit》Official Music Video,MIRROR
S6hedDGVOGE,姜濤 Keung To《作品的說話》Official Music Video,MIRROR
B1dDPfs6cXo,古巨基 Edan 呂爵安《飄流教室》(Floating Classroom) [Official MV],古巨基 Leo Ku
levtdfsgdpE,MC 張天賦 - 時候不早 About Time (Official Music Video),MC 張天賦
JvMoytjPmJc,姜濤 Keung To 《鏡中鏡》Official Music Video,MIRROR
y1l7-hLwPjo,Anson Lo 盧瀚霆《Mr. Stranger》Official Music Video,MIRROR
AsKuZrVZkoo,Ian 陳卓賢 《Distance》Official Music Video,MIRROR
YIZCano1dP0,Ian 陳卓賢 《地球上的最後一朵花》Official Music Video,MIRROR
FlsxLlozYdw,MC 張天賦 - 小心地滑 Caution Wet Floor (Official Music Video),MC 張天賦
Xksy4opi9s8,Edan 呂爵安 FENG ZE 邱鋒澤《一表人才》 Official Music Video,MIRROR
RyhF6pAAlPM,張敬軒 Hins Cheung《賽勒斯的愛》(Cherlas) [Official MV],張敬軒 Hins Cheung
ShS8UQPUlzc,洪嘉豪 Hung Kaho - 主角光環 Halo (Official Music Video),洪嘉豪 Hung Kaho
ocxIKEbKOFs,洪嘉豪 Hung Kaho - 及時行樂 Missing You (Official Music Video),洪嘉豪 Hung Kaho
OPjzNxGwnYo,Ian 陳卓賢 《Got U》Official Music Video,MIRROR
7xKrSRNL-eU,Edan 呂爵安 《Elevator》 Official Music Video,MIRROR
bvhbM0JGsx4,林家謙 Terence Lam《某種老朋友》Stranger (Official MV),林家謙 Terence Lam
qj5k19iT63A,G.E.M.鄧紫棋【兩個你Double You】(粵) Official Music Video,GEM鄧紫棋
wHIgVyfzAt0,古巨基 MC 張天賦《自我安慰》(Self-comfort) [Official MV],古巨基 Leo Ku
jZrDc9HDfx0,林家謙 Terence Lam《在空中的這一秒》The Moment (Official MV),林家謙 Terence Lam
g9qpq6yEGKY,Edan 呂爵安 《My Apple Pie》 Official Music Video,MIRROR
cWQ99uzuqJ8,Jer 柳應廷《人類群星閃耀時》 Official Music Video 《 Stellar Moments of Humankind 》,MIRROR
_9vVtShpbyI,洪嘉豪 Hung Kaho X MC 張天賦- 聖誕很忙 Stay Busy Over Christmas (Official Lyric Video),洪嘉豪 Hung Kaho
L-UehndXVYs,洪嘉豪 Hung Kaho - 污糟兒 Dirty (Official Music Video),洪嘉豪 Hung Kaho
9LFs-FrJokU,MIRROR《We All Are》Official Music Video,MIRROR
YjgeLmX-6HE,馮允謙 Jay Fung - 給缺席的人唱首歌 Song for the Absentees (Official Music Video),Jay Fung 馮允謙
JZYNGEudQx0,林家謙 Terence Lam《記得》Remember (Official MV),林家謙 Terence Lam
IKKzd3m0KC8,洪嘉豪 Hung Kaho - 還原淚 Cycle Of Tears (Official Music Video),洪嘉豪 Hung Kaho
y0DJTvny0Bc,林峯 Raymond Lam - 幼稚未完 Still Naive (Official Music Video),林峯 Raymond Lam 
YPJljJJzKFo,Gareth.T - 勁浪漫 超溫馨 (official video),Gareth.T
O5fXXbjT_Mc,Anson Kong 江𤒹生 Alton Wong 王智德《Rebound》Official Music Video,MIRROR
DsDANy61wRo,ERROR《愛情值日生》Official Music Video,ERROR
YNLYX4jkSd4,COLLAR《Call My Name!》Official Music Video,COLLAR
HwfmZqrIPXw,Edan Lui 呂爵安《攀上天梯的螞蟻》Official Music Video《過時·過節》電影主題曲,Edan Lui 呂爵安
1iaaxf76GZ8,MIRROR《Innerspace》Official Music Video,MIRROR
zYjJgyCpd34,葉巧琳 Mischa Ip - 難道我還未夠難 | Official MV,MischaIpOfficialVEVO
YuQ7gBuhkyQ,Jer 柳應廷 《離別的規矩》 Official Music Video,MIRROR
0dZ3tx2se-o,COLLAR《Never-never Land》Official Music Video,COLLAR
b2qXJwIW1pE,MIRROR《12》Official Music Video,MIRROR
43cQ1pJm3lw,Anson Kong 江𤒹生 《三個字》 Official Music Video,MIRROR
N0ligepS378,姜濤 Keung To Featuring AGA 江海迦  《I Know》 Official Music video,MIRROR
s2VfMoHgjA4,Jeremy Lee 李駿傑《半》 Official Music Video,MIRROR
KpZL59NqkcY,林家謙 Terence Lam《邊一個發明了ENCORE》(Official MV),林家謙 Terence Lam
CJMi5QygKbU,SoWhat - 低調系 ft. Novel Fergus [Official Music Video] @YackStudio,YACK STUDIO RECORD LIMITED
fWeZxGTq3DY,TYSON YOSHI - i don't smoke & i don't drink (Prod. SilverStrike) Official Music Video,Tyson Yoshi
