videoId,title,singer
s_MKpsZ9YBQ,emergency contact,Gareth.T - Topic
v_gO_P8gug8,Queencard (퀸카 (Queencard)),(G)I-DLE - Topic
aFoqCI75WoY,TOMBOY,(G)I-DLE - Topic
0LuignGmX_0,Somewhere Only We Know,Keane - Topic
Y4RmVcKav9Q,거짓말 (Lies),BIGBANG - Topic
hWeM7AJJchY,Looking For Love In The Wrong Places,On Chan - Topic
rtS3yA-cPUA,一切還好,Eason Chan - Topic
Fs7VOl9gA_U,酩酊天使,Hins Cheung - Topic
dKphvvsB4w4,最後今晚,Eason Chan - Topic
7inO3vut90w,Lips,IVE - Topic
17SScQV5Bwc,愛在記憶中找你 (劇集「歲月風雲」插曲),林峯 - Topic
6khPeol-KIc,拼命無恙 in Bb major,Terence Lam - Topic
iUzaQyntLA8,他一個人,Eason Chan - Topic
5wK0fC4rt0k,下一位前度 in Ab major,Terence Lam - Topic
Dj_sPrVTKBQ,夠鐘,Pakho Chau - Topic
cJ-KtgbuId0,꽃 (FLOWER),JISOO - Topic
VVUvWmHAWDQ,Off The Record,IVE - Topic
0id44IpiTKc,意外現場,Yan Ting - Topic
6sUP1m8r29A,深夜告別練習,Zpecial - Topic
c84VnpGFbrw,하루하루 (Haru Haru),BIGBANG - Topic
GsjCB7NJp5k,loner anthem,Gareth.T - Topic
ei0k_1Uro-U,불장난 (Playing With Fire),BLACKPINK - Topic
wWxICkvRuaw,六天,Pakho Chau - Topic
SQrKCytWbj8,Song 2 (2012 Remaster),Blur - Topic
acH4BsS7TQY,自動棄權 (放手版),符家浚 - Topic
E9CDg525fV4,Everyone,Mr. - Topic
k2zDLzfcb3I,Blue,BIGBANG - Topic
csVeFCLhmAM,Sign,FLOW - Topic
116FifAdnj8,餘震,Hins Cheung - Topic
WdiSosDz4ss,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM - Topic
Gqfq_8jPw8Q,Perfect Night,LE SSERAFIM - Topic
W9nGpkHTL-0,宏願,Pakho Chau - Topic
VB36uOlxFSE,我的世界末日,Eason Chan - Topic
GlY7aMCm_Og,러시안 룰렛 Russian Roulette,Red Velvet - Topic
HnScTP6zR6c,Wedding Dress,TAEYANG - Topic
Kl3T8KuhJaA,Monster,BIGBANG - Topic
-0BYjJW4Wsk,濛,麥浚龍   - Topic
znvky0Uq8qc,Until I Found You,Stephen Sanchez - Topic
9PpXu-2fPHc,Dream On,Aerosmith - Topic
Q4SvxrdEeLQ,吳哥窟,Kary Ng - Topic
ifx-jmrtlaM,我本人,Kary Ng - Topic
8mA6jIeojnk,How You Like That,BLACKPINK - Topic
mr1as-Q_BAg,等不了,Mr. - Topic
