videoId,title,singer
LbY_tuJ6txw,这样很好 (Isha's Song),Eason Chan - Topic
txsdlO2DP34,孤獨患者 (國),Eason Chan - Topic
E-MBcgOPHJg,孤勇者 (《英雄聯盟：雙城之戰》動畫劇集中文主題曲),Eason Chan - Topic
7qeShSmmsNg,富士山下,Eason Chan - Topic
O8bTDWz8T8c,淘汰,Eason Chan - Topic
3AOC1AUVwwo,讓我留在你身邊,Eason Chan - Topic
tjr3SrCg3pc,十年 (國),Eason Chan - Topic
fTu70rvAupM,歲月如歌,Eason Chan - Topic
8PZPan86tB0,明年今日,Eason Chan - Topic
vBFc6PTO_9w,十年 (OT: 明年今日),Eason Chan - Topic
1dFgCqhqK24,Lonely Christmas,Eason Chan - Topic
S8am7eEHzKk,因為愛情,Eason Chan - Topic
RIq7Tz9nYD8,愛情轉移 (國),Eason Chan - Topic
UtbbGPyOSbY,K歌之王 (國),Eason Chan - Topic
SQw1kTNQasY,聖誕結 (國),Eason Chan - Topic
TU7GiHect0k,單車,Eason Chan - Topic
wTIcC-OF3mk,好久不見,Eason Chan - Topic
NCsVnmmNA3E,葡萄成熟時,Eason Chan - Topic
vJ1SMy6a9vo,K歌之王,Eason Chan - Topic
0fcKEN4_QoM,最佳損友,Eason Chan - Topic
54sAVIN8lZE,無條件,Eason Chan - Topic
0xFFGzZq75w,浮誇,Eason Chan - Topic
kkTWnl7Cww0,我們 (《後來的我們》電影主題曲),Eason Chan - Topic
jqXzbmOmI9s,人來人往,Eason Chan - Topic
7t2wtSSIF1I,十面埋伏,Eason Chan - Topic
FF_35jGO53I,落花流水,Eason Chan - Topic
1nthDPqTfZU,沙龍,Eason Chan - Topic
ReSmECW4ihI,1874,Eason Chan - Topic
fHCG7nLFTXk,七百年後,Eason Chan - Topic
DOgI7qUduP8,陀飛輪,Eason Chan - Topic
Tdw2jNxu0TQ,苦瓜,Eason Chan - Topic
bD10yPNle50,大開眼戒,Eason Chan - Topic
EuuYI1vc7ak,任我行,Eason Chan - Topic
V4Svdilm1QQ,一絲不掛,Eason Chan - Topic
TEVbbBa_NHg,紅玫瑰 (國),Eason Chan - Topic
Gn2icSshuDI,你的背包 (國),Eason Chan - Topic
lxV8xVCVxdE,是但求其愛,Eason Chan - Topic
IoxknYNHANU,白玫瑰,Eason Chan - Topic
7PnY8zrU92w,於心有愧,Eason Chan - Topic
C4-TNnZdGQU,Shall We Talk,Eason Chan - Topic
iNu2r3M4BZ4,無人之境,Eason Chan - Topic
Q7tnLVn93FA,Wo De Kuai Le Shi Dai,Eason Chan - Topic
0l1XuKSFBnE,黑洞,Eason Chan - Topic
G8RRgq7y3Yk,不要說話 (國),Eason Chan - Topic
PSbj97mA4b4,四季,Eason Chan - Topic
jg5us16Mbaw,你給我聽好,Eason Chan - Topic
yxLVMORsWEg,陰天快樂,Eason Chan - Topic
AqIdZVnjng4,兄妹 (國),Eason Chan - Topic
zJ7xhahVpm0,心的距離 (國),Eason Chan - Topic
pNmnlDsiZ6Q,重口味,Eason Chan - Topic
T5vdSUf7uLg,粵語殘片,Eason Chan - Topic
V6ml01xI91I,防不勝防,Eason Chan - Topic
hNX6gzYGfuE,夕陽無限好,Eason Chan - Topic
uz3apfp4DPc,阿牛,Eason Chan - Topic
XND4UnQz8IQ,穩穩的幸福,Eason Chan - Topic
w0GkwPXigN0,Shall We Talk,Eason Chan - Topic
mUT446Xx1O4,Yu Wo Chang Zai,Eason Chan - Topic
oYJ94k1obfw,Happy Ferris Wheel,Eason Chan - Topic
AB48VXFSmbA,Wo Shen Me Dou Mei You,Eason Chan - Topic
iARDVbQ8ukM,可以了,Eason Chan - Topic
Ol-b36_mCJk,Tian Xia Mo Shuang,Eason Chan - Topic
lkk6uxEw5XY,Huang Jin Shi Dai,Eason Chan - Topic
p0ZShQI74e8,不如這樣 (國),Eason Chan - Topic
cOsUjnSrj3E,我們萬歲,Eason Chan - Topic
PjxY6gwZADU,今天只做一件事,Eason Chan - Topic
pWC9fmCYEZI,盲婚啞嫁,Eason Chan - Topic
R5FY19iSkvo,防不勝防,Eason Chan - Topic
g9xykYVlvl8,伤信,Eason Chan - Topic
18TcfSJMYjc,不來也不去,Eason Chan - Topic
OhowuBdJpjg,月球上的人,Eason Chan - Topic
PrkWIZoc5Vo,遠在咫尺,Eason Chan - Topic
44ZEvw3QBpc,多少 (國),Eason Chan - Topic
