videoId,title,singer
jWQh4YMIg88,邊一個發明了ENCORE,Terence Lam - Topic
6jfOlsOotvU,記得,Terence Lam - Topic
599mUK-GV3Y,時光倒流一句話,Terence Lam - Topic
9_OywYBRLzc,在空中的這一秒,Terence Lam - Topic
FV-2OZgzjZg,隔離 (Studio Live Duet),Jace Chan - Topic
e1qf18Q-08M,一人之境 in C major,Terence Lam - Topic
3JF_zX03p_c,某種老朋友,Terence Lam - Topic
5wK0fC4rt0k,下一位前度 in Ab major,Terence Lam - Topic
9DPbWe-2WIc,神奇的糊塗魔藥,Terence Lam - Topic
0xX70_gpdW4,夏之風物詩,Terence Lam - Topic
I1z-YHZh4dM,難道喜歡處女座,Terence Lam - Topic
Q3m-hRrH3fA,doodoodoo,Terence Lam - Topic
6khPeol-KIc,拼命無恙 in Bb major,Terence Lam - Topic
mfteDdRa9Z4,特倫斯夢遊仙境,Terence Lam - Topic
gXX4jFzAu2c,just carry on in G# major,Terence Lam - Topic
aMerxn5CCGY,聽風 in D major,Terence Lam - Topic
DWoK1nBAztw,Wild Fantasy,Jason Chan - Topic
pgBrUu636co,The Unbroken Part of Me,Cath Wong - Topic
b_s-fwYaBNs,潛水,Hins Cheung - Topic
KyZEgUdsg3A,風的形狀,thisisyoyotube - Topic
hdKJoAaqQPQ,致明日的舞,Eason Chan - Topic
rOWZHEr3C2g,壞與更壞,Yoga Lin - Topic
YvsOtbAM5Ss,心之科學,Joey Yung - Topic
CxoThitOQSM,靈魂出竅練習曲 (feat. 林家謙),JNYBeatz - Topic
BfD6-xAdFP8,A Gentleman's Guide to Old-Fashioned Dating,MC Cheung Tinfu - Topic
OPj2mIdHk48,我不如,Mike Tsang - Topic
899pHdkvX5A,賽勒斯的愛,Hins Cheung - Topic
H1AqWAdy6EM,未來見,RubberBand - Topic
aCiiOUqX1ZA,Time Travel,Kaho Hung - Topic
pon_eSUAUdo,Overruled,MC Cheung Tinfu - Topic
w_DNfNgV0W4,我不是邱比特 (合唱版),Mike Tsang - Topic
wEkkhLx8SOc,離別的規矩,Jer 柳应廷 - Topic
6i7V-UMWXTY,hyperromantic,Gareth.T - Topic
4WT_xi4CDsA,飄流教室,Leo Ku - Topic
LjUIJ_ZBlb0,留下来的人,C AllStar - Topic
rb4pR269JPc,About Time,MC Cheung Tinfu - Topic
d6vHs5QAT60,You and Me,Dear Jane - Topic
Y0TOApGnvFg,Caution Wet Floor,MC Cheung Tinfu - Topic
MD4f9obbUW0,Galactic Repairman,Dear Jane - Topic
vER4DPlhXXI,Stars,Panther Chan - Topic
jAG_lGkKhVU,Halo,Kaho Hung - Topic
v2aK75s-tHs,Pillow Talk,MC Cheung Tinfu - Topic
HHOrlDccJ4I,長相廝守,ToNick - Topic
m0mOtTFtBs8,E先生 連環不幸事件,Edan 呂爵安 - Topic
kINiPfLk3oE,OFF/ON,COLLAR - Topic
pVyQ_tKP94g,Warrior,MIRROR - Topic
EtjAR4hkt8s,蝸牛,Ian 陳卓賢 - Topic
mgpGZAh8iUQ,猥瑣,保錡@Error - Topic
LBA9uAVpIp4,缺,Hins Cheung - Topic
HtRAR0HAcrg,What If The World,Charmaine Fong - Topic
XqsuUm4HI-Y,留一天與你喘息,Ian 陳卓賢 - Topic
o3Qwd2siPX8,Never-never Land,COLLAR - Topic
9_xlIDi_uJM,2084,Dear Jane - Topic
8H7I3mSxWdM,俏郎君,Hins Cheung - Topic
-iCJP9IdbXE,BOSS,MIRROR - Topic
E_U7pZZctpg,鯨落,Ian 陳卓賢 - Topic
CDCnDFLTi0I,Stay Busy Over Christmas,MC Cheung Tinfu - Topic
Fs7VOl9gA_U,酩酊天使,Hins Cheung - Topic
sb6o8d-kdLk,愛情值日生,ERROR - Topic
qysCEJpZiAw,IGNITED,MIRROR - Topic
YbMUOB5yKZc,另一個諾貝爾,Ian 陳卓賢 - Topic
_Tvmap55ypc,Megahit,Anson Lo 盧瀚霆 - Topic
np1gzHGkI9Y,我們不 Chok,ERROR - Topic
2PV3iTnxX_Y,信之卷,Anson Kong - Topic
q0gdPzMc7Ps,MM7,Jer 柳应廷 - Topic
2Lm-5BggBnY,404,ERROR - Topic
eCmCNO1g2qI,重頭開始,Hins Cheung - Topic
ybtcLIYRJNE,睡到三點,193 - Topic
1Z1Q-aBufkY,Inno Per Gli Sconfitti,Dear Jane - Topic
IMdaGADhu7Y,First Tear Last Salute,Joyce Cheng  - Topic
IPzaxaztXBY,三分甜,Lolly Talk - Topic
gIXTjOIgLgw,我們很帥,ERROR - Topic
yq6h2XBwJbI,膠 on! (《膠戰S2》主題曲),Release - Topic
g0WbV3prMBU,I Promise,ERROR - Topic
6tSoDMZMZ4c,砂之器,Jer 柳应廷 - Topic
ROvA3_0lQZo,Discovery,RubberBand - Topic
l6e1WlIMN5s,我們不碎 (電視劇《娛樂風雲》片尾曲),ERROR - Topic
CYsMDbJz1D4,Midnight Romance,Gigi Cheung - Topic
gvB2-pjblSk,See You Again?,C AllStar - Topic
FoiocMGXikQ,不吐不快,Hins Cheung - Topic
dg9KlYfK_3A,盛夏的舞,Heyo - Topic
FPEvXeE3VUU,Innerspace,MIRROR - Topic
MkRx9uGANe8,借火,麥浚龍   - Topic
SckFYRsQgt4,Ciao,RubberBand - Topic
dX76jNMV4Us,On my way,Hins Cheung - Topic
7ethGwiyOH4,收聲多謝,Jace Chan - Topic
p4lBdl5xKqE,Let Us Go Then You and I,Serrini - Topic
essgB38blv8,I Wanna Be With You,Panther Chan - Topic
