videoId,title,singer
YJfHuATJYsQ,周杰倫 Jay Chou【擱淺 Step Aside】-Official Music Video,周杰倫 Jay Chou
DYptgVvkVLQ,周杰倫 Jay Chou【晴天 Sunny Day】-Official Music Video,周杰倫 Jay Chou
qzwsQTY-99o,周杰倫 Jay Chou【楓Maple Leaf 】-Official Music Video,周杰倫 Jay Chou
6Q0Pd53mojY,周杰倫 Jay Chou【夜曲 Nocturne】-Official Music Video,周杰倫 Jay Chou
Bbp9ZaJD_eA,周杰倫 Jay Chou【七里香 Orange Jasmine】-Official Music Video,周杰倫 Jay Chou
sHD_z90ZKV0,周杰倫 Jay Chou【稻香 Rice Field】-Official Music Video,周杰倫 Jay Chou
bu7nU9Mhpyo,周杰倫 Jay Chou (特別演出: 派偉俊)【告白氣球 Love Confession】Official MV,周杰倫 Jay Chou
L229QDxDakU,周杰倫 Jay Chou【一路向北 All the Way North】-Official Music Video,周杰倫 Jay Chou
Z8Mqw0b9ADs,周杰倫 Jay Chou【青花瓷 Blue and White Porcelain】-Official Music Video,周杰倫 Jay Chou
_VxLOj3TB5k,周杰倫Jay Chou X aMEI【不該 Shouldn't Be】Official MV,周杰倫 Jay Chou
0-4mm0e2h44,周杰倫 Jay Chou【退後 A Step Back】-Official Music Video,周杰倫 Jay Chou
kYhh1PpsOg4,周杰倫 Jay Chou【珊瑚海 Coral Sea (feat. 梁心頤 Lara)】-Official Music Video,周杰倫 Jay Chou
mLFhTFiX0uM,周杰倫 Jay Chou【說好的幸福呢 The Promised Love】-Official Music Video,周杰倫 Jay Chou
VitJnr3IySc,周杰倫 Jay Chou【蒲公英的約定 A Dandelion's Promise】-Official Music Video,周杰倫 Jay Chou
aaM7qG2ycjk,周杰倫 Jay Chou【髮如雪 Hair White as Snow】-Official Music Video,周杰倫 Jay Chou
SdBwt6pyNwE,周杰倫 Jay Chou【 軌跡 Tracks】Official MV,周杰倫 Jay Chou
wt0RKW3aC84,周杰倫 Jay Chou【給我一首歌的時間 Give me the Time of One Song】-Official Music Video,周杰倫 Jay Chou
1hI-7vj2FhE,周杰倫 Jay Chou【安靜 Silence】Official MV,周杰倫 Jay Chou
uIWypArI73w,周杰倫 Jay Chou【不能說的祕密 Secret】-Official Music Video,周杰倫 Jay Chou
TbFWYT9VGRk,周杰倫 Jay Chou【我是如此相信 I Truly Believe】(電影天火主題曲) Official MV,周杰倫 Jay Chou
KKsioz-zaZY,周杰倫 Jay Chou【說了再見 Say Goodbye】Official MV,周杰倫 Jay Chou
KcK8WurGpEQ,周杰倫 Jay Chou【藉口 Excuse】-Official Music Video,周杰倫 Jay Chou
kfXdP7nZIiE,周杰倫 Jay Chou【等你下課 Waiting For You  (with 楊瑞代 Gary)】歌詞版Lyrics MV,周杰倫 Jay Chou
HK7SPnGSxLM,周杰倫 Jay Chou【說好不哭 Won't Cry (with 五月天阿信 Mayday Ashin)】Official MV,周杰倫 Jay Chou
_B8RaLCNUZw,周杰倫 Jay Chou【聽媽媽的話 Listen to Mom】-Official Music Video,周杰倫 Jay Chou
2zxc27bvrO8,周杰倫 Jay Chou【最長的電影 The Longest Movie】-Official Music Video,周杰倫 Jay Chou
UBySINroNkw,周杰倫 Jay Chou【明明就 Ming Ming Jiu】Official MV,周杰倫 Jay Chou
s-VFpsrbWLk,周杰倫 Jay Chou【我不配 Not Good Enough For You】-Official Music Video,周杰倫 Jay Chou
6d0v2InyN_w,周杰倫 Jay Chou【我落淚 情緒零碎 Tears of Scattered Emotion】Official MV,周杰倫 Jay Chou
H7hpK6cm-6k,周杰倫 Jay Chou【開不了口 I Find It Hard To Say】Official MV,周杰倫 Jay Chou
s5Xl5MXboas,周杰倫 Jay Chou【蘭亭序 Lan-Ting-Xu】-Official Music Video,周杰倫 Jay Chou
duZDsG3tvoA,周杰倫 Jay Chou【半島鐵盒 Peninsula Ironbox】Official MV,周杰倫 Jay Chou
5XK2C9w6oVk,周杰倫 Jay Chou【愛在西元前 Love before AD】Official MV,周杰倫 Jay Chou
Y4xCVlyCvX4,周杰倫 Jay Chou【簡單愛 Simple Love】Official MV,周杰倫 Jay Chou
v489sYYjtHI,周杰倫 Jay Chou【算什麼男人 What Kind of Man】Official MV (ft. 林依晨),周杰倫 Jay Chou
q1ww6bDjfiI,周杰倫 Jay Chou【花海 Floral Sea】-Official Music Video,周杰倫 Jay Chou
TMB6-YflpA4,周杰倫 Jay Chou【手寫的從前 Handwritten Past】Official MV,周杰倫 Jay Chou
MKNrnSsIwf8,周杰倫 Jay Chou【回到過去 Back to the Past】Official MV,周杰倫 Jay Chou
Imxftp0SZtE,周杰倫 Jay Chou【聽見下雨的聲音 Rhythm of the Rain】MV Lyrics Ver.,周杰倫 Jay Chou
ocDo3ySyHSI,周杰倫 Jay Chou【千里之外 Far Away (feat.費玉清 Fei Yu-ching)】-Official Music Video,周杰倫 Jay Chou
9q7JOQfcJQM,周杰倫 Jay Chou【以父之名 In The Name of The Father】-Official Music Video,周杰倫 Jay Chou
qQ7g1tfEGFc,周杰倫 Jay Chou【陽光宅男 Sunshine Nerd】-Official Music Video,周杰倫 Jay Chou
RPWDeLqsN0g,周杰倫 Jay Chou【龍捲風 Tornado】-Official Music Video,周杰倫 Jay Chou
CYT9DPJdtS4,周杰倫 Jay Chou【暗號 Secret Code】Official MV,周杰倫 Jay Chou
WxZvXPTBC0A,周杰倫 Jay Chou【彩虹 Rainbow】-Official Music Video,周杰倫 Jay Chou
L6joGUdc6y4,周杰倫 Jay Chou【紅塵客棧 Hong-Chen Inn】Official MV,周杰倫 Jay Chou
87VUC4J_0Ps,周杰倫 Jay Chou【可愛女人 Cute Girl (feat.徐若瑄Vivian)】 -Official Music Video,周杰倫 Jay Chou
bX33UI9ZPLk,周杰倫 Jay Chou【黑色毛衣 Black Sweater】-Official Music Video,周杰倫 Jay Chou
wr-6wwt8RXk,周杰倫 Jay Chou【霍元甲 Fearless】-Official Music Video,周杰倫 Jay Chou
PdjbRvvJAzg,周杰倫 Jay Chou【菊花台 Chrysanthemum Terrace】-Official Music Video,周杰倫 Jay Chou
eS2T9IiOYbc,周杰倫 Jay Chou【聽爸爸的話 Listen to Dad】Official MV,周杰倫 Jay Chou
K9CbHZLXPIA,周杰倫 Jay Chou【白色風車 White Windmill】-Official Music Video,周杰倫 Jay Chou
COMHDRqAvYE,周杰倫 Jay Chou【煙花易冷 Fade Away】Official MV,周杰倫 Jay Chou
-biOGdYiF-I,"周杰倫 Jay Chou【Mojito】Official MV ★ Check out ""J-Style Trip"" on Netflix -Travelogue, Magic and Fun!",周杰倫 Jay Chou
Kbvu9Vt5_eE,周杰倫 Jay Chou【浪漫手機 Romantic Cellphone】-Official Music Video,周杰倫 Jay Chou
IoCoIxkGkVw,周杰倫 Jay Chou【園遊會 Fun Fair】-Official Music Video,周杰倫 Jay Chou
BSlMAJ7SkMA,周杰倫 Jay Chou【還在流浪 Still Wandering】Official MV,周杰倫 Jay Chou
sTNJsIcPSvE,周杰倫 Jay Chou【星晴 Starry Mood】-Official Music Video,周杰倫 Jay Chou
1emA1EFsPMM,周杰倫 Jay Chou【最偉大的作品 Greatest Works of Art】Official MV,周杰倫 Jay Chou
2kdYSeoHChg,周杰倫 Jay Chou【愛情廢柴 Failure at love】Official MV,周杰倫 Jay Chou
APgx1k-2Tqc,周杰倫 JAY CHOU ft. JABBAWOCKEEZ【紅顏如霜 Cold Hearted】Official MV,周杰倫 Jay Chou
n_KlMpP0vdw,周杰倫 Jay Chou【斷了的弦 Broken Strings】Official MV,周杰倫 Jay Chou
wRT-5heURhY,周杰倫 Jay Chou【黑色幽默 Dark Humor】-Official Music Video,周杰倫 Jay Chou
qct0JLjaHDc,周杰倫 Jay Chou【東風破 Dong-Feng-Po】-Official Music Video,周杰倫 Jay Chou
AdkkF6MT0R0,周杰倫 Jay Chou【夜的第七章 Chapter Seven】-Official Music Video,周杰倫 Jay Chou
gqzlB7Gla2E,周杰倫 Jay Chou【她的睫毛 Her Eyelashes】-Official Music Video,周杰倫 Jay Chou
kLY11fv7fUk,周杰倫 Jay Chou【妳聽得到 You Hear Me】-Official Music Video,周杰倫 Jay Chou
Gx-SOE302Ys,愛你沒差,Jay Chou - Topic
ZcShYmOhHM0,周杰倫 Jay Chou【最後的戰役 The Final Battle】Official MV,周杰倫 Jay Chou
qIZ5MAwbeCg,周杰倫 Jay Chou【止戰之殤 Wounds of War】-Official Music Video,周杰倫 Jay Chou
8CD06hC1KGU,周杰倫 Jay Chou【本草綱目Chinese Herbal Manual】-Official Music Video,周杰倫 Jay Chou
-u4sPnpaFEA,周杰倫 Jay Chou【大笨鐘 Big Ben】Official MV,周杰倫 Jay Chou
IXuhdnB2dAY,周杰倫 JAY CHOU (feat. 楊瑞代) 【聖誕星 Christmas Star】Official MV,周杰倫 Jay Chou
mm8T-lBXQXA,周杰倫 Jay Chou【甜甜的 Sweet】-Official Music Video,周杰倫 Jay Chou
4j0Fgmsxr-o,周杰倫 Jay Chou【超人不會飛 Superman Can't Fly】Official MV,周杰倫 Jay Chou
fuM1aVCGR8c,Jay Chou 周杰倫【反方向的鐘 Counter-clockwise Clock】-Official Music Video,周杰倫 Jay Chou
9tN1xixvYOc,周杰倫 Jay Chou【錯過的煙火 You Are The Firework I Missed】Official MV,周杰倫 Jay Chou
MAjY8mCTXWk,"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】Official MV 發燒影片華語地區蟬聯第一 美國直衝前二",周杰倫 Jay Chou
eM6mF4RWhe0,周杰倫 Jay Chou【分裂 Split】Official MV,周杰倫 Jay Chou
XFGbwiHWovI,擱淺,Jay Chou - Topic
NDFULbHgL6E,周杰倫 Jay Chou【世界末日 End of the World】Official MV,周杰倫 Jay Chou
xVTI5eSzwzQ,周杰倫 Jay Chou【心雨 Rainy Mood】-Official Music Video,周杰倫 Jay Chou
X2njc8is50o,周杰倫 Jay Chou【飄移 Drift】(頭文字Dの実写版)-Official Music Video,周杰倫 Jay Chou
LdPjnubLRN0,周杰倫 Jay Chou【爺爺泡的茶 Grandpa's Tea】Official MV,周杰倫 Jay Chou
me7jfhFIZvk,周杰倫 Jay Chou【Mine Mine】Official MV,周杰倫 Jay Chou
CcfnZOJpbM4,周杰倫 Jay Chou【上海 一九四三 Shanghai 1943】Official MV,周杰倫 Jay Chou
OR-0wptI_u0,周杰倫 Jay Chou【雙截棍 Nunchucks】Official MV,周杰倫 Jay Chou
S-p4gXbIifo,周杰倫 Jay Chou【公主病 Princess Syndrome】Official MV,周杰倫 Jay Chou
