videoId,title,singer
x8VYWazR5mE,YOASOBI「夜に駆ける」 Official Music Video,Ayase / YOASOBI
QW28YKqdxe0,NiziU  『Make you happy』 M/V,JYP Entertainment
bt8wNQJaKAk,Official髭男dism - I LOVE...［Official Video］,Official髭男dism
UFQEttrn6CQ,米津玄師 - 感電   Kenshi Yonezu - KANDEN,Kenshi Yonezu  米津玄師
9MjAJSoaoSo,香水  /  瑛人 (Official Music Video),瑛人
yOAwvRmVIyo,あいみょん - 裸の心【OFFICIAL MUSIC VIDEO】,あいみょん
DC6JppqHkaM,yama - 春を告げる (Official Video),yama
XPUN-w543bc,King Gnu - Teenager Forever,King Gnu official YouTube channel
qLMLzBYTTKQ,【Official】Uru 『あなたがいることで』TBS系 日曜劇場「テセウスの船」主題歌,Uru Official YouTube Channel
J6-IaSJLNOA,三浦春馬「Night Diver」Music Video,A-Sketch MUSIC LABEL
9lVPAWLWtWc,ヨルシカ - 花に亡霊（OFFICIAL VIDEO）,ヨルシカ / n-buna Official
kzdJkT4kp-A,YOASOBI「ハルジオン」Official Music Video,Ayase / YOASOBI
L-MVk5I6wjo,チューリングラブ feat.Sou / ナナヲアカリ,ナナヲアカリ OFFICIAL
gc0_Acq8dV4,King Gnu - どろん,King Gnu official YouTube channel
syHCwaounPc,空音 / Hug feat. kojikoji (Album ver.) -Official Music Video-,空音
kff_DXor7jc,Official髭男dism - Laughter［Official Video］,Official髭男dism
qucqaX8AHeg,snow jam - Rin音 (Official Music Video),Rin音 Official Channel
k9VOuzOXAVo,平井 堅 『怪物さん feat.あいみょん』MUSIC VIDEO,平井 堅 YouTube Official Channel
pkoxFpmiCWo,Official髭男dism - パラボラ［Official Video］,Official髭男dism
XeFQJ6-XoD0,米津玄師 - カムパネルラ  Kenshi Yonezu - Campanella,Kenshi Yonezu  米津玄師
7njC5lgL61c,日向坂46 『ソンナコトナイヨ』,日向坂46 OFFICIAL YouTube CHANNEL
Ue6VQTcKPQo,Reol - '第六感 / THE SIXTH SENSE' Music Video,Reol
nGZXxzN4-Pc,乃木坂46 『I see...』,乃木坂46 OFFICIAL YouTube CHANNEL
xeUWGjPwujg,NiziU「Baby I'm a star」Dance Performance Video,NiziU Official
dJf4wCdLU18,心予報 - Eve MV,Eve
Gbz2C2gQREI,不可幸力 / Vaundy ：MUSIC VIDEO,Vaundy
sAuEeM_6zpk,YOASOBI「あの夢をなぞって」 Official Music Video,Ayase / YOASOBI
U-n1BR5JCDI,JO1 l『無限大(INFINITY)』MV,JO1
Atvsg_zogxo,ずっと真夜中でいいのに。『お勉強しといてよ』MV (ZUTOMAYO – STUDY ME),ずっと真夜中でいいのに。 ZUTOMAYO
aRDURmIYBZ4,緑黄色社会 『Mela!』Music Video / Ryokuoushoku Shakai – Mela!,緑黄色社会
C1yP_GQ9s4E,あいみょん – さよならの今日に【OFFICIAL MUSIC VIDEO】,あいみょん
v7BY5m2wYx4,森七菜 スマイル　Music Video,森七菜 Music Official Channel
XLwdEb_87Fo,ARASHI - IN THE SUMMER [Official Music Video],ARASHI
F9eCSWEJYjk,理芽 - 食虫植物 / RIM - Carnivorous Plant (Official Music Video),理芽 -RIM-
ENcnYh79dUY,ヨルシカ - 思想犯（OFFICIAL VIDEO）,ヨルシカ / n-buna Official
G0S0tTSh1Qk,ARASHI - Whenever You Call [Official Music Video],ARASHI
1zwaZkOXXqw,Daddy ! Daddy ! Do !,Masayuki Suzuki - Topic
p1qM75a9FeE,Official髭男dism - HELLO［Official Video］,Official髭男dism
ZvwdDxncn70,家入レオ -「未完成」（Full Ver.）,家入レオ
Zy_KuTFwot4,"平井 大 / Stand by me, Stand by you.（Lyric Video）",平井 大
p7X-hT1v4Vk,SEKAI NO OWARI「umbrella」【Official Audio】,SEKAI NO OWARI
m-FRFhvM1EA,日向坂46 『アザトカワイイ』,日向坂46 OFFICIAL YouTube CHANNEL
fjSy6cRr4rg,ARASHI - One Love : Reborn [Official Lyric Video],ARASHI
Nt6ZwuVzOS4,Fujii Kaze - Nan-Nan (Official Video),Fujii Kaze
Baw-cAvS5xc,金木犀 feat.Ado (Official Video),くじらofficial
vzhTpIIQR5I,Fujii Kaze - YASASHISA (Official Video),Fujii Kaze
FodIcZ6TLxg,秋山黄色『モノローグ』,秋山黄色
aXrU5zpy9Pc,乃木坂46 『しあわせの保護色』,乃木坂46 OFFICIAL YouTube CHANNEL
Ww8oxgqDQSs,緑黄色社会 『Shout Baby』Music Video（TVアニメ『僕のヒーローアカデミア』4期「文化祭編」EDテーマ / MY HERO ACADEMIA ENDING）,緑黄色社会
